 uniqueID,fam_id,fam_id 2,Income-to-needs,sub_id,Sex,Inequality Grp,Income Grp,Final Grp,Household Income,Valence Pre,Arousal Pre,Valence Post,Arousal Post,Age,CT Mean Income,Gini CT,Voice Rating,Formant Position,Formant Dispersion,Fundamental Frequency,N1,N2,N3,N4,N5,N6,Neuroticism,E1,E2,E3,E4,E5,E6,Extroversion,O1,O2,O3,O4,O5,O6,Openness,A1,A2,A3,A4,A5,A6,Agreeableness,C1,C2,C3,C4,C5,C6,Conscientiousness
FAM5189_323839,FAM5189,FAM5189,1.202971339,323839,1,high,low,LI-HII,40000,3,2,3,1,199,56682,0.476357393,,-0.813853749,1304.447138,288.4387178,18,7,5,15,17,11,73,27,29,10,26,22,28,142,24,24,20,13,15,19,115,25,25,24,24,21,22,141,22,14,27,17,20,21,121
FAM7831_333858,FAM7831,FAM7831,1.202971339,333858,0,high,low,LI-HII,40000,5,1,5,1,207,55118,0.480416107,,,,,13,22,7,12,19,10,83,28,18,28,22,21,24,141,19,17,24,17,19,29,125,19,13,25,15,11,24,107,23,21,24,21,17,11,117
FAM9010_399090,FAM9010,FAM9010,1.202971339,399090,0,high,low,LI-HII,40000,3,1,3,1,206,55118,0.480416107,,,,,8,18,16,14,20,17,93,18,16,13,23,19,10,99,14,17,14,15,14,22,96,16,18,17,14,16,13,94,13,16,19,10,12,13,83
FAM9010_441599,FAM9010,FAM9010,1.202971339,441599,0,high,low,LI-HII,40000,3,1,4,2,155,55118,0.480416107,,,,,16,20,24,20,18,10,108,24,16,16,20,24,20,120,12,20,22,12,20,9,95,20,12,20,12,16,17,97,20,12,24,20,16,14,106
FAM9696_325747,FAM9696,FAM9696,1.202971339,338992,1,high,low,LI-HII,40000,3,1,3,2,174,55118,0.480416107,,0.2967192,1426.222325,283.218914,18,22,22,12,28,22,124,14,32,23,18,25,18,130,28,12,22,8,16,20,106,14,12,7,8,20,16,77,10,0,14,8,0,6,38
FAM9696_491414,FAM9696,FAM9696,1.202971339,440109,0,high,low,LI-HII,40000,4,2,3,2,163,55118,0.480416107,,1.134439471,1271.769922,236.9264532,26,9,29,22,11,20,117,11,14,4,6,12,9,56,25,1,19,7,0,18,70,16,19,20,21,28,27,131,16,8,15,7,4,19,69
FAM2146_440352,FAM2146,FAM2146,1.202971339,440352,0,high,low,LI-HII,40000,5,1,5,1,150,71416,0.56543341,0.111111111,0.612207935,1238.132764,256.3394208,17,13,15,18,11,11,85,29,18,13,18,16,22,116,20,13,18,15,16,20,102,21,27,26,23,16,25,138,25,23,27,18,24,27,144
FAM2146_360683,FAM2146,FAM2146,1.202971339,360683,1,high,low,LI-HII,40000,4,1,4,1,206,71416,0.56543341,,-0.343440671,1300.376113,240.8614182,20,11,15,16,14,13,89,30,29,19,26,21,26,151,18,25,23,24,26,23,139,21,22,26,23,20,28,140,24,24,24,21,27,20,140
FAM9595_663370,FAM9595,FAM9595,1.410669363,457571,0,high,low,LI-HII,60000,5,1,3,2,167,49461,0.441056601,0.972222222,-0.092533478,1235.242659,242.0687971,14,14,12,16,14,10,80,26,21,19,20,19,19,124,19,15,19,14,20,17,104,17,20,25,16,16,18,112,20,19,24,19,20,16,118
FAM9595_529249,FAM9595,FAM9595,1.410669363,339260,0,high,low,LI-HII,60000,3,1,3,2,196,49461,0.441056601,,,,,19,14,7,9,15,4,68,26,15,24,26,24,23,138,17,17,24,12,20,16,106,25,22,27,14,18,29,135,25,21,22,14,27,18,127
FAM5275_476584,FAM5275,FAM5275,1.410669363,476584,0,high,low,LI-HII,60000,5,2,4,1,151,71612,0.451502145,0.888888889,0.090268359,1255.160443,217.0061593,9,7,2,13,12,6,49,28,23,17,20,20,24,132,9,18,18,17,21,16,99,22,27,31,25,13,26,144,27,23,26,25,28,28,157
FAM5275_399036,FAM5275,FAM5275,1.410669363,399036,0,high,low,LI-HII,60000,4,2,4,2,187,71612,0.451502145,,,,,13,17,10,13,15,12,80,26,16,24,17,22,26,131,18,24,25,16,15,24,122,16,23,23,12,17,24,115,19,18,26,20,18,20,121
FAM6039_388393,FAM6039,FAM6039,1.460600307,388393,1,high,low,LI-HII,40000,4,2,4,1,212,53032,0.441603883,,,,,11,8,7,15,11,9,61,25,16,13,16,25,24,119,27,30,23,21,26,28,155,25,29,28,22,22,26,152,23,13,21,19,17,18,111
FAM6039_473529,FAM6039,FAM6039,1.460600307,473529,1,high,low,LI-HII,40000,4,2,4,2,185,53032,0.441603883,,-0.250336703,1388.058927,228.9506544,17,10,18,21,17,15,98,28,21,13,14,19,16,111,24,31,23,20,20,21,139,23,26,29,21,19,25,143,16,8,21,18,16,15,94
FAM3285_558828,FAM3285,FAM3285,1.460600307,558828,0,high,low,LI-HII,40000,4,1,3,2,179,71612,0.451502145,,,,,10,11,9,15,14,5,64,20,22,17,18,18,21,116,21,15,16,15,25,20,112,20,23,26,19,17,20,125,24,19,27,21,24,23,138
